================================================================================
模型文件: flickcd_student_backbone.pth
文件类型: State Dict (Pure Weights)
总层数: 486
================================================================================

Layer Name (键名)                                              | Shape (维度)                | Params (参数量)
decoder.psa2.bn2.bias                                        | [80]                      | 80
decoder.psa2.bn2.running_mean                                | [80]                      | 80
decoder.psa2.bn2.running_var                                 | [80]                      | 80
decoder.psa2.bn2.num_batches_tracked                         | []                        | 1
decoder.psa3.sa.pos_encode                                   | [225, 4]                  | 900
decoder.psa3.sa.pos_index                                    | [64, 64]                  | 4,096
decoder.psa3.sa.to_qkv.weight                                | [240, 1, 1, 1]            | 240
decoder.psa3.sa.to_qkv.bias                                  | [240]                     | 240
decoder.psa3.sa.to_out.weight                                | [80, 80, 1, 1]            | 6,400
decoder.psa3.mlp.0.weight                                    | [320, 80, 1, 1]           | 25,600
decoder.psa3.mlp.0.bias                                      | [320]                     | 320
decoder.psa3.mlp.2.weight                                    | [80, 320, 1, 1]           | 25,600
decoder.psa3.mlp.2.bias                                      | [80]                      | 80
decoder.psa3.bn1.weight                                      | [80]                      | 80
decoder.psa3.bn1.bias                                        | [80]                      | 80
decoder.psa3.bn1.running_mean                                | [80]                      | 80
decoder.psa3.bn1.running_var                                 | [80]                      | 80
decoder.psa3.bn1.num_batches_tracked                         | []                        | 1
decoder.psa3.bn2.weight                                      | [80]                      | 80
decoder.psa3.bn2.bias                                        | [80]                      | 80
decoder.psa3.bn2.running_mean                                | [80]                      | 80
decoder.psa3.bn2.running_var                                 | [80]                      | 80
decoder.psa3.bn2.num_batches_tracked                         | []                        | 1
decoder.egsa1.sa.to_q.weight                                 | [80, 1, 1, 1]             | 80
decoder.egsa1.sa.to_q.bias                                   | [80]                      | 80
decoder.egsa1.sa.to_k.weight                                 | [80, 1, 4, 4]             | 1,280
decoder.egsa1.sa.to_k.bias                                   | [80]                      | 80
decoder.egsa1.sa.to_v.weight                                 | [80, 1, 4, 4]             | 1,280
decoder.egsa1.sa.to_v.bias                                   | [80]                      | 80
decoder.egsa1.sa.to_out.weight                               | [80, 80, 1, 1]            | 6,400
decoder.egsa1.sa.to_out.bias                                 | [80]                      | 80
decoder.egsa1.mlp.0.weight                                   | [320, 80, 1, 1]           | 25,600
decoder.egsa1.mlp.0.bias                                     | [320]                     | 320
decoder.egsa1.mlp.2.weight                                   | [80, 320, 1, 1]           | 25,600
decoder.egsa1.mlp.2.bias                                     | [80]                      | 80
decoder.egsa1.bn1.weight                                     | [80]                      | 80
decoder.egsa1.bn1.bias                                       | [80]                      | 80
decoder.egsa1.bn1.running_mean                               | [80]                      | 80
decoder.egsa1.bn1.running_var                                | [80]                      | 80
decoder.egsa1.bn1.num_batches_tracked                        | []                        | 1
decoder.egsa1.bn2.weight                                     | [80]                      | 80
decoder.egsa1.bn2.bias                                       | [80]                      | 80
decoder.egsa1.bn2.running_mean                               | [80]                      | 80
decoder.egsa1.bn2.running_var                                | [80]                      | 80
decoder.egsa1.bn2.num_batches_tracked                        | []                        | 1
decoder.egsa2.sa.to_q.weight                                 | [80, 1, 1, 1]             | 80
decoder.egsa2.sa.to_q.bias                                   | [80]                      | 80
decoder.egsa2.sa.to_k.weight                                 | [80, 1, 8, 8]             | 5,120
decoder.egsa2.sa.to_k.bias                                   | [80]                      | 80
decoder.egsa2.sa.to_v.weight                                 | [80, 1, 8, 8]             | 5,120
decoder.egsa2.sa.to_v.bias                                   | [80]                      | 80
decoder.egsa2.sa.to_out.weight                               | [80, 80, 1, 1]            | 6,400
decoder.egsa2.sa.to_out.bias                                 | [80]                      | 80
decoder.egsa2.mlp.0.weight                                   | [320, 80, 1, 1]           | 25,600
decoder.egsa2.mlp.0.bias                                     | [320]                     | 320
decoder.egsa2.mlp.2.weight                                   | [80, 320, 1, 1]           | 25,600
decoder.egsa2.mlp.2.bias                                     | [80]                      | 80
decoder.egsa2.bn1.weight                                     | [80]                      | 80
decoder.egsa2.bn1.bias                                       | [80]                      | 80
decoder.egsa2.bn1.running_mean                               | [80]                      | 80
decoder.egsa2.bn1.running_var                                | [80]                      | 80
decoder.egsa2.bn1.num_batches_tracked                        | []                        | 1
decoder.egsa2.bn2.weight                                     | [80]                      | 80
decoder.egsa2.bn2.bias                                       | [80]                      | 80
decoder.egsa2.bn2.running_mean                               | [80]                      | 80
decoder.egsa2.bn2.running_var                                | [80]                      | 80
decoder.egsa2.bn2.num_batches_tracked                        | []                        | 1
decoder.egsa3.sa.to_q.weight                                 | [80, 1, 1, 1]             | 80
decoder.egsa3.sa.to_q.bias                                   | [80]                      | 80
decoder.egsa3.sa.to_k.weight                                 | [80, 1, 8, 8]             | 5,120
decoder.egsa3.sa.to_k.bias                                   | [80]                      | 80
decoder.egsa3.sa.to_v.weight                                 | [80, 1, 8, 8]             | 5,120
decoder.egsa3.sa.to_v.bias                                   | [80]                      | 80
decoder.egsa3.sa.to_out.weight                               | [80, 80, 1, 1]            | 6,400
decoder.egsa3.sa.to_out.bias                                 | [80]                      | 80
decoder.egsa3.mlp.0.weight                                   | [320, 80, 1, 1]           | 25,600
decoder.egsa3.mlp.0.bias                                     | [320]                     | 320
decoder.egsa3.mlp.2.weight                                   | [80, 320, 1, 1]           | 25,600
decoder.egsa3.mlp.2.bias                                     | [80]                      | 80
decoder.egsa3.bn1.weight                                     | [80]                      | 80
decoder.egsa3.bn1.bias                                       | [80]                      | 80
decoder.egsa3.bn1.running_mean                               | [80]                      | 80
decoder.egsa3.bn1.running_var                                | [80]                      | 80
decoder.egsa3.bn1.num_batches_tracked                        | []                        | 1
decoder.egsa3.bn2.weight                                     | [80]                      | 80
decoder.egsa3.bn2.bias                                       | [80]                      | 80
decoder.egsa3.bn2.running_mean                               | [80]                      | 80
decoder.egsa3.bn2.running_var                                | [80]                      | 80
decoder.egsa3.bn2.num_batches_tracked                        | []                        | 1
decoder.egsa_a.sa.to_q.weight                                | [80, 1, 1, 1]             | 80
decoder.egsa_a.sa.to_q.bias                                  | [80]                      | 80
decoder.egsa_a.sa.to_k.weight                                | [80, 1, 4, 4]             | 1,280
decoder.egsa_a.sa.to_k.bias                                  | [80]                      | 80
decoder.egsa_a.sa.to_v.weight                                | [80, 1, 4, 4]             | 1,280
decoder.egsa_a.sa.to_v.bias                                  | [80]                      | 80
decoder.egsa_a.sa.to_out.weight                              | [80, 80, 1, 1]            | 6,400
decoder.egsa_a.sa.to_out.bias                                | [80]                      | 80
decoder.egsa_a.mlp.0.weight                                  | [320, 80, 1, 1]           | 25,600
decoder.egsa_a.mlp.0.bias                                    | [320]                     | 320
decoder.egsa_a.mlp.2.weight                                  | [80, 320, 1, 1]           | 25,600
decoder.egsa_a.mlp.2.bias                                    | [80]                      | 80
decoder.egsa_a.bn1.weight                                    | [80]                      | 80
decoder.egsa_a.bn1.bias                                      | [80]                      | 80
decoder.egsa_a.bn1.running_mean                              | [80]                      | 80
decoder.egsa_a.bn1.running_var                               | [80]                      | 80
decoder.egsa_a.bn1.num_batches_tracked                       | []                        | 1
decoder.egsa_a.bn2.weight                                    | [80]                      | 80
decoder.egsa_a.bn2.bias                                      | [80]                      | 80
decoder.egsa_a.bn2.running_mean                              | [80]                      | 80
decoder.egsa_a.bn2.running_var                               | [80]                      | 80
decoder.egsa_a.bn2.num_batches_tracked                       | []                        | 1
decoder.egsa_b.sa.to_q.weight                                | [80, 1, 1, 1]             | 80
decoder.egsa_b.sa.to_q.bias                                  | [80]                      | 80
decoder.egsa_b.sa.to_k.weight                                | [80, 1, 4, 4]             | 1,280
decoder.egsa_b.sa.to_k.bias                                  | [80]                      | 80
decoder.egsa_b.sa.to_v.weight                                | [80, 1, 4, 4]             | 1,280
decoder.egsa_b.sa.to_v.bias                                  | [80]                      | 80
decoder.egsa_b.sa.to_out.weight                              | [80, 80, 1, 1]            | 6,400
decoder.egsa_b.sa.to_out.bias                                | [80]                      | 80
decoder.egsa_b.mlp.0.weight                                  | [320, 80, 1, 1]           | 25,600
decoder.egsa_b.mlp.0.bias                                    | [320]                     | 320
decoder.egsa_b.mlp.2.weight                                  | [80, 320, 1, 1]           | 25,600
decoder.egsa_b.mlp.2.bias                                    | [80]                      | 80
decoder.egsa_b.bn1.weight                                    | [80]                      | 80
decoder.egsa_b.bn1.bias                                      | [80]                      | 80
decoder.egsa_b.bn1.running_mean                              | [80]                      | 80
decoder.egsa_b.bn1.running_var                               | [80]                      | 80
decoder.egsa_b.bn1.num_batches_tracked                       | []                        | 1
decoder.egsa_b.bn2.weight                                    | [80]                      | 80
decoder.egsa_b.bn2.bias                                      | [80]                      | 80
decoder.egsa_b.bn2.running_mean                              | [80]                      | 80
decoder.egsa_b.bn2.running_var                               | [80]                      | 80
decoder.egsa_b.bn2.num_batches_tracked                       | []                        | 1
backbone.features.0.0.c.weight                               | [20, 3, 3, 3]             | 540
backbone.features.0.0.bn.weight                              | [20]                      | 20
backbone.features.0.0.bn.bias                                | [20]                      | 20
backbone.features.0.0.bn.running_mean                        | [20]                      | 20
backbone.features.0.0.bn.running_var                         | [20]                      | 20
backbone.features.0.0.bn.num_batches_tracked                 | []                        | 1
backbone.features.0.2.c.weight                               | [40, 20, 3, 3]            | 7,200
backbone.features.0.2.bn.weight                              | [40]                      | 40
backbone.features.0.2.bn.bias                                | [40]                      | 40
backbone.features.0.2.bn.running_mean                        | [40]                      | 40
backbone.features.0.2.bn.running_var                         | [40]                      | 40
backbone.features.0.2.bn.num_batches_tracked                 | []                        | 1
backbone.features.1.token_mixer.0.conv.c.weight              | [40, 1, 3, 3]             | 360
backbone.features.1.token_mixer.0.conv.bn.weight             | [40]                      | 40
backbone.features.1.token_mixer.0.conv.bn.bias               | [40]                      | 40
backbone.features.1.token_mixer.0.conv.bn.running_mean       | [40]                      | 40
backbone.features.1.token_mixer.0.conv.bn.running_var        | [40]                      | 40
backbone.features.1.token_mixer.0.conv.bn.num_batches_tracked | []                        | 1
backbone.features.1.token_mixer.0.conv1.weight               | [40, 1, 1, 1]             | 40
backbone.features.1.token_mixer.0.conv1.bias                 | [40]                      | 40
backbone.features.1.token_mixer.0.bn.weight                  | [40]                      | 40
backbone.features.1.token_mixer.0.bn.bias                    | [40]                      | 40
backbone.features.1.token_mixer.0.bn.running_mean            | [40]                      | 40
backbone.features.1.token_mixer.0.bn.running_var             | [40]                      | 40
backbone.features.1.token_mixer.0.bn.num_batches_tracked     | []                        | 1
backbone.features.1.token_mixer.1.fc1.weight                 | [8, 40, 1, 1]             | 320
backbone.features.1.token_mixer.1.fc1.bias                   | [8]                       | 8
backbone.features.1.token_mixer.1.fc2.weight                 | [40, 8, 1, 1]             | 320
backbone.features.1.token_mixer.1.fc2.bias                   | [40]                      | 40
backbone.features.1.channel_mixer.m.0.c.weight               | [80, 40, 1, 1]            | 3,200
backbone.features.1.channel_mixer.m.0.bn.weight              | [80]                      | 80
backbone.features.1.channel_mixer.m.0.bn.bias                | [80]                      | 80
backbone.features.1.channel_mixer.m.0.bn.running_mean        | [80]                      | 80
backbone.features.1.channel_mixer.m.0.bn.running_var         | [80]                      | 80
backbone.features.1.channel_mixer.m.0.bn.num_batches_tracked | []                        | 1
backbone.features.1.channel_mixer.m.2.c.weight               | [40, 80, 1, 1]            | 3,200
backbone.features.1.channel_mixer.m.2.bn.weight              | [40]                      | 40
backbone.features.1.channel_mixer.m.2.bn.bias                | [40]                      | 40
backbone.features.1.channel_mixer.m.2.bn.running_mean        | [40]                      | 40
backbone.features.1.channel_mixer.m.2.bn.running_var         | [40]                      | 40
